*************Target variables in total: 32*************
Number of Fault Insertions: 745
Number of Faulty Executions: 745
,variable_name,max_risk_diff,quantile1,quantile2
1,delta_0,1.0,2,0
28,x_5,0.1708185053380783,4,1
23,temp_0,0.012012012012011963,0,7
16,e_4,0.009009009009009028,4,9
22,temp_3,0.00800800800800805,0,5
24,dd_1,0.00700700700700696,0,7
20,d_1,0.00700700700700696,0,5
14,y2_0,0.00700700700700696,0,5
15,y_0,0.006006006006005982,0,5
17,e_1,0.0010010010010010895,4,0
11,x_4,0.0010000000000000009,0,7
0,y_1,0.0010000000000000009,6,0
12,status_red_0,0.0,0,0
13,status_0,0.0,0,0
30,p0_0,0.0,0,0
29,p1_0,0.0,0,0
2,P3_0,0.0,0,0
27,sgn_3,0.0,0,0
26,t_0,0.0,0,0
25,dd_0,0.0,0,0
3,r_0,0.0,0,0
4,TwoPi_0,0.0,0,0
5,P2_0,0.0,0,0
21,d_0,0.0,0,0
6,P1_0,0.0,0,0
19,d_4,0.0,0,0
18,e_0,0.0,0,0
7,theta_2,0.0,0,0
8,stat_0,0.0,0,0
9,x_cut_0,0.0,0,0
10,sgn_0,0.0,0,0
31,r_1,0.0,0,0
