*************Target variables in total: 28*************
Number of Fault Insertions: 477
Number of Faulty Executions: 251
,variable_name,max_risk_diff,quantile1,quantile2
23,trunc_1,0.63,9,6
27,abserr_0,0.054000000000000006,8,9
0,fph_0,0.004,8,0
28,result_3,0.004,0,1
31,error_1,0.003000000000000001,8,0
32,error_0,0.0,0,0
19,error_opt_1,0.0,0,0
26,round_0,0.0,0,0
25,round_1,0.0,0,0
24,trunc_0,0.0,0,0
35,r_0_1,0.0,0,0
22,r_opt_0,0.0,0,0
20,error_opt_0,0.0,0,0
1,abserr_round_1,0.0,0,0
17,trunc_opt_0,0.0,0,0
2,abserr_trunc_1,0.0,0,0
3,dy_0,0.0,0,0
4,e5_0,0.0,0,0
5,result_1,0.0,0,0
6,e3_0,0.0,0,0
7,fm1_0,0.0,0,0
8,fp1_0,0.0,0,0
9,r5_0,0.0,0,0
10,r3_0,0.0,0,0
11,fmh_0,0.0,0,0
13,h_opt_0,0.0,0,0
15,round_opt_0,0.0,0,0
36,r_0_0,0.0,0,0
