*************Target variables in total: 37*************
Number of Fault Insertions: 761
Number of Faulty Executions: 469
,variable_name,max_risk_diff,quantile1,quantile2
20,temp_3,0.916,0,1
11,y_0,0.727,3,0
10,y2_0,0.727,3,0
21,temp_0,0.662,3,0
22,dd_1,0.662,3,0
12,result_val_0,0.528,4,0
17,d_4,0.527,4,0
14,e_4,0.526,4,0
32,t_1,0.1428571428571429,0,5
33,result_val_7,0.09523809523809523,0,5
18,d_1,0.008000000000000007,0,4
15,e_1,0.006000000000000005,0,6
28,result_err_8,0.0,0,0
23,dd_0,0.0,0,0
29,result_err_7,0.0,0,0
27,c0_0,0.0,0,0
31,px_0,0.0,0,0
26,result_val_6,0.0,0,0
30,result_err_6,0.0,0,0
25,t_0,0.0,0,0
24,px11_0,0.0,0,0
34,c0_1,0.0,0,0
35,result_err_10,0.0,0,0
0,n_4,0.0,0,0
19,d_0,0.0,0,0
1,value_2,0.0,0,0
16,e_0,0.0,0,0
13,result_err_0,0.0,0,0
9,return_val_0,0.0,0,0
8,status_0,0.0,0,0
7,result_val_4,0.0,0,0
6,x_4,0.0,0,0
5,count_0,0.0,0,0
4,count_1,0.0,0,0
3,result_err_4,0.0,0,0
2,value_1,0.0,0,0
36,result_err_9,0.0,0,0
